class,support,precision,sensitivity,specificity,f1,auroc,average_precision
Benign,66,0.9384615384615385,0.9242424242424242,0.9230769230769231,0.9312977099236641,0.9460955710955711,0.922723473694622
Malignant,32,0.8235294117647058,0.875,0.9302325581395349,0.8484848484848485,0.9200581395348838,0.9213359720285945
Normal,20,1.0,0.95,1.0,0.9743589743589743,1.0,1.0000000000000002
