model,seed,accuracy,cohen_kappa,macro_f1,macro_sensitivity,macro_specificity,macro_auroc,macro_auprc,f1_benign,f1_malignant,f1_normal
FiLMoS-Net (cold start),42,0.9152542372881356,0.8554984080333088,0.9180471775891624,0.9164141414141413,0.951103160405486,0.9553845702101516,0.9480198152410724,0.9312977099236641,0.8484848484848485,0.9743589743589743
Hybrid CNN-LSTM,42,0.8813559322033898,0.7988309790550414,0.8933954933954934,0.8970959595959597,0.930530709600477,0.9483424359877848,0.9150178265705922,0.8923076923076924,0.7878787878787878,1.0
ViT,42,0.8050847457627118,0.6507078507078508,0.8017328583366319,0.7926136363636364,0.8677698270721527,0.92186681212844,0.8628869689624911,0.8391608391608392,0.5660377358490566,1.0
DSDNet (same-mask adaptation),42,0.8983050847457628,0.8216624685138539,0.902048975512244,0.8910984848484849,0.9306797853309482,0.9552338004372888,0.9324242648581826,0.9130434782608695,0.7931034482758621,1.0
CTMF-Net,42,0.8728813559322034,0.7722007722007722,0.8706953423934557,0.8544823232323232,0.9089147286821705,0.9501169453931082,0.9147439610997136,0.8951048951048951,0.7169811320754716,1.0
SAE-Net (image-spectrum adaptation),42,0.9067796610169492,0.8385973638398408,0.9127302165553531,0.9068813131313131,0.9396243291592129,0.967236373123001,0.9492754361560127,0.9185185185185185,0.819672131147541,1.0
