model,accuracy_mean,accuracy_sd,accuracy_ci_low,accuracy_ci_high,macro_f1_mean,macro_f1_sd,macro_f1_ci_low,macro_f1_ci_high,macro_auroc_mean,macro_auroc_sd,macro_auroc_ci_low,macro_auroc_ci_high
FiLMoS-Net (cold start),0.9372881355932204,0.015394832308970305,0.9181729265567878,0.956403344629653,0.9418344391740339,0.015396993494385752,0.9227165466714775,0.9609523316765902,0.980329231492022,0.014124984165259114,0.9627907471788215,0.9978677158052225
Hybrid CNN-LSTM,0.8694915254237289,0.017573255384176024,0.8476714468819571,0.8913116039655007,0.8806361326313141,0.016272756737327358,0.8604308364390469,0.9008414288235813,0.952078477078477,0.012280033909103944,0.9368308010768212,0.9673261530801329
ViT,0.8220338983050848,0.021606014888105016,0.7952064874738702,0.8488613091362993,0.8222921087200392,0.026111104784676667,0.7898708899555801,0.8547133274844984,0.919387242279684,0.004770718679520064,0.9134636126497657,0.9253108719096024
DSDNet (same-mask adaptation),0.864406779661017,0.02160601488810504,0.8375793688298023,0.8912341904922316,0.8721232165705499,0.020541940183342888,0.8466170289916378,0.897629404149462,0.9497830496377009,0.00867902418091329,0.9390066177727209,0.9605594815026809
CTMF-Net,0.8627118644067797,0.01932500720507012,0.8387166986952157,0.8867070301183437,0.87048976609323,0.013555739819675946,0.8536580919901212,0.8873214401963389,0.9432159249019714,0.007776938222249873,0.9335595806951489,0.9528722691087939
SAE-Net (image-spectrum adaptation),0.9135593220338982,0.01630117293361978,0.8933187424737289,0.9337999015940676,0.9202517835867395,0.014429301199091825,0.9023354397685888,0.9381681274048903,0.9698407374279467,0.010482925954608278,0.9568244656742738,0.9828570091816197
