model,display_name,seed,accuracy,macro_f1,macro_auroc,macro_auprc
ctmf_net,CTMF-Net,42,0.8728813559322034,0.8706953423934557,0.9501169453931082,0.9147439610997136
ctmf_net,CTMF-Net,43,0.8898305084745762,0.892801548235096,0.95186519714136,0.9175694436096649
ctmf_net,CTMF-Net,44,0.8559322033898306,0.8651285164946367,0.9387439917963173,0.9117396043069892
ctmf_net,CTMF-Net,45,0.8389830508474576,0.8563770295807783,0.9333106331652843,0.8928052935380176
ctmf_net,CTMF-Net,46,0.8559322033898306,0.8674463937621831,0.9420428570137872,0.9191086509573569
dsdnet,DSDNet (same-mask adaptation),42,0.8983050847457628,0.902048975512244,0.9552338004372888,0.9324242648581826
dsdnet,DSDNet (same-mask adaptation),43,0.864406779661017,0.8762626262626263,0.9489537029507961,0.921440110025349
dsdnet,DSDNet (same-mask adaptation),44,0.864406779661017,0.8762626262626263,0.9480087096366167,0.9200712396349178
dsdnet,DSDNet (same-mask adaptation),45,0.8559322033898306,0.8567805716741886,0.9598421604235557,0.9332784823603945
dsdnet,DSDNet (same-mask adaptation),46,0.8389830508474576,0.8492612831410646,0.9368768747402468,0.8996400570118647
filmos_cold,FiLMoS-Net (cold start),42,0.9152542372881356,0.9180471775891624,0.9553845702101516,0.9480198152410724
filmos_cold,FiLMoS-Net (cold start),43,0.9322033898305084,0.939083139083139,0.986249175566036,0.9810566516862602
filmos_cold,FiLMoS-Net (cold start),44,0.940677966101695,0.94541910331384,0.9888201672358649,0.9826150186761885
filmos_cold,FiLMoS-Net (cold start),45,0.9576271186440678,0.9603319166160696,0.9830268245965921,0.979450248949793
filmos_cold,FiLMoS-Net (cold start),46,0.940677966101695,0.9462908592679585,0.9881654198514663,0.9824849029542055
filmos_warm,FiLMoS-Net (warm start; secondary),42,0.9322033898305084,0.9370887497993902,0.9763844843786704,0.9697996783706134
hybrid_cnn_lstm,Hybrid CNN-LSTM,42,0.8813559322033898,0.8933954933954934,0.9483424359877848,0.9150178265705922
hybrid_cnn_lstm,Hybrid CNN-LSTM,43,0.8728813559322034,0.8849089841456254,0.9709466083012596,0.9561609766044858
hybrid_cnn_lstm,Hybrid CNN-LSTM,44,0.8898305084745762,0.8968629832017809,0.9513533139986627,0.9301559214933853
hybrid_cnn_lstm,Hybrid CNN-LSTM,45,0.847457627118644,0.8584496870486279,0.9368460996367972,0.8944236003101714
hybrid_cnn_lstm,Hybrid CNN-LSTM,46,0.8559322033898306,0.8695635153650421,0.9529039274678809,0.9297233583127341
sae_net,SAE-Net (image-spectrum adaptation),42,0.9067796610169492,0.9127302165553531,0.967236373123001,0.9492754361560127
sae_net,SAE-Net (image-spectrum adaptation),43,0.9152542372881356,0.9213609372492377,0.9711899857248695,0.9550906081375233
sae_net,SAE-Net (image-spectrum adaptation),44,0.923728813559322,0.9298245614035087,0.9813734392222765,0.9728742214010208
sae_net,SAE-Net (image-spectrum adaptation),45,0.8898305084745762,0.9002544529262085,0.9536306716539276,0.931179647268387
sae_net,SAE-Net (image-spectrum adaptation),46,0.9322033898305084,0.9370887497993902,0.9757732174156594,0.9572700786754149
vit,ViT,42,0.8050847457627118,0.8017328583366319,0.92186681212844,0.8628869689624911
vit,ViT,43,0.847457627118644,0.8530734632683658,0.9259404193997217,0.8761197424511776
vit,ViT,44,0.8389830508474576,0.8464266567693514,0.9135973441932744,0.85157546570668
vit,ViT,45,0.7966101694915254,0.7955138236828377,0.9165077090222439,0.8493766770392751
vit,ViT,46,0.8220338983050848,0.8147137415430098,0.9190239266547406,0.8641359282324522
