configuration,accuracy,macro_f1,macro_auroc,f1_benign,f1_malignant,f1_normal
Full FiLMoS-Net (adaptive routing),0.9152542372881356,0.9180471775891624,0.9553845702101516,0.9312977099236641,0.8484848484848485,0.9743589743589743
Fixed,0.864406779661017,0.8693986340163251,0.9002703126976384,0.8840579710144928,0.7241379310344828,1.0
Orientation,0.3898305084745763,0.3875555555555555,0.7548737760947063,0.0,0.496,0.6666666666666666
Frequency,0.847457627118644,0.8425044091710759,0.888601748703493,0.8714285714285714,0.7037037037037037,0.9523809523809523
Morphology,0.6864406779661016,0.5594896331738437,0.604452206154864,0.7757575757575758,0.06060606060606061,0.8421052631578947
