class,support,precision,sensitivity,specificity,f1,auroc,average_precision
Benign,66,0.9264705882352942,0.9545454545454546,0.9038461538461364,0.9402985074626866,0.9734848484848484,0.9727342455379017
Malignant,32,0.9,0.84375,0.9651162790697563,0.8709677419354839,0.9556686046511628,0.936664789573938
Normal,20,1.0,1.0,0.9999999999999899,1.0,1.0,1.0000000000000002
