class,threshold,recall,precision
benign,0.9751571417,0.0303030303,1.0000000000
benign,0.9795376658,0.0151515152,1.0000000000
benign,,0.0000000000,1.0000000000
malignant,0.0175158009,1.0000000000,0.2711864407
malignant,0.0203506444,1.0000000000,0.2735042735
malignant,0.0246952139,1.0000000000,0.2758620690
malignant,0.0300448593,1.0000000000,0.2782608696
malignant,0.0306427721,1.0000000000,0.2807017544
malignant,0.0316251852,1.0000000000,0.2831858407
malignant,0.0320463553,1.0000000000,0.2857142857
malignant,0.0333741233,1.0000000000,0.2882882883
malignant,0.0338752270,1.0000000000,0.2909090909
malignant,0.0383788720,1.0000000000,0.2935779817
malignant,0.0393491052,1.0000000000,0.2962962963
malignant,0.0398301147,1.0000000000,0.2990654206
malignant,0.0418426543,1.0000000000,0.3018867925
malignant,0.0464048460,1.0000000000,0.3047619048
malignant,0.0468340293,1.0000000000,0.3076923077
malignant,0.0488928594,1.0000000000,0.3106796117
malignant,0.0494916402,1.0000000000,0.3137254902
malignant,0.0506993756,1.0000000000,0.3168316832
malignant,0.0509088039,1.0000000000,0.3200000000
malignant,0.0543489195,1.0000000000,0.3232323232
malignant,0.0628733486,1.0000000000,0.3265306122
malignant,0.0639124364,1.0000000000,0.3298969072
malignant,0.0668987930,1.0000000000,0.3333333333
malignant,0.0671559274,1.0000000000,0.3368421053
malignant,0.0681999102,1.0000000000,0.3404255319
malignant,0.0689660832,1.0000000000,0.3440860215
malignant,0.0699091107,0.9687500000,0.3369565217
malignant,0.0710045621,0.9687500000,0.3406593407
malignant,0.0731271431,0.9687500000,0.3444444444
malignant,0.0736950934,0.9687500000,0.3483146067
malignant,0.0751051605,0.9687500000,0.3522727273
malignant,0.0751597136,0.9687500000,0.3563218391
malignant,0.0806521773,0.9687500000,0.3604651163
malignant,0.0808625445,0.9687500000,0.3647058824
malignant,0.0852442160,0.9687500000,0.3690476190
malignant,0.0862986147,0.9687500000,0.3734939759
malignant,0.0868720412,0.9687500000,0.3780487805
malignant,0.0868983418,0.9687500000,0.3827160494
malignant,0.0937684774,0.9687500000,0.3875000000
malignant,0.0937890187,0.9687500000,0.3924050633
malignant,0.0998010486,0.9687500000,0.3974358974
malignant,0.1015102193,0.9687500000,0.4025974026
malignant,0.1054524854,0.9687500000,0.4078947368
malignant,0.1056293547,0.9687500000,0.4133333333
malignant,0.1077062488,0.9687500000,0.4189189189
malignant,0.1077848151,0.9687500000,0.4246575342
malignant,0.1100350842,0.9687500000,0.4305555556
